,meanExpr,# Genes
Adipose - Subcutaneous,0.9080418571758595,28830.0
Adipose - Visceral (Omentum),0.782013955804101,28881.0
Adrenal Gland,0.569481334738933,28235.0
Artery - Aorta,1.1046476243138272,28025.0
Artery - Coronary,1.0283782449615317,28462.0
Artery - Tibial,1.0720510186296066,27217.0
Bladder,1.010138221185001,28949.0
Brain - Amygdala,0.2369091401328202,28196.0
Brain - Anterior cingulate cortex (BA24),0.3138178739448836,28921.0
Brain - Caudate (basal ganglia),0.3037078184540744,29230.0
Brain - Cerebellar Hemisphere,1.0797633293379787,29538.0
Brain - Cerebellum,1.091348102262595,30106.0
Brain - Cortex,0.5127312428678042,29560.0
Brain - Frontal Cortex (BA9),0.6041582007445423,29132.0
Brain - Hippocampus,0.21507450865414482,28625.0
Brain - Hypothalamus,0.39788940746269025,29502.0
Brain - Nucleus accumbens (basal ganglia),0.36632668079512215,29339.0
Brain - Putamen (basal ganglia),0.17450316724396672,28335.0
Brain - Spinal cord (cervical c-1),0.6550476574922122,28352.0
Brain - Substantia nigra,0.3223456128326041,28050.0
Breast - Mammary Tissue,0.9149732848165182,29615.0
Cells - Cultured fibroblasts,0.5455466692443226,27840.0
Cells - EBV-transformed lymphocytes,0.9076332374881896,26297.0
Cervix - Ectocervix,1.1941303819936588,29691.0
Cervix - Endocervix,1.11469367922956,30559.0
Colon - Sigmoid,0.9416474192430234,28454.0
Colon - Transverse,0.7105742372317982,29574.0
Esophagus - Gastroesophageal Junction,0.8995205608727949,28219.0
Esophagus - Mucosa,0.7535855430518981,28332.0
Esophagus - Muscularis,0.8977082425577085,27982.0
Fallopian Tube,1.2472405468946277,29861.0
Heart - Atrial Appendage,0.1713599067538033,27818.0
Heart - Left Ventricle,-0.19850192274915268,26037.0
Kidney - Cortex,0.19944419077430878,29263.0
Kidney - Medulla,0.22963261213798933,31935.0
Liver,0.08543924626939736,26560.0
Lung,1.1400051392474981,30049.0
Minor Salivary Gland,0.7143451487608593,30270.0
Muscle - Skeletal,0.06778087376795046,25586.0
Nerve - Tibial,1.2785138930195281,30082.0
Ovary,1.1481740132407685,29523.0
Pancreas,-0.08095430152512315,27433.0
Pituitary,1.0414558996646588,31187.0
Prostate,1.0815944392323318,30385.0
Skin - Not Sun Exposed (Suprapubic),0.8338423835769749,29686.0
Skin - Sun Exposed (Lower leg),0.8961678647617346,29629.0
Small Intestine - Terminal Ileum,0.818518793194541,30321.0
Spleen,0.978298364972792,29856.0
Stomach,0.6163559644703573,28254.0
Testis,1.2204847888022652,40180.0
Thyroid,1.2347320221143419,30166.0
Uterus,1.239078852416966,29192.0
Vagina,1.111710806598538,29727.0
Whole Blood,-0.07610196134154006,24144.0
Mean,0.7153149225892629,44219.0
