,meanExpr,# Genes
Adipose - Subcutaneous,-1.1830409741143615,12783.0
Adipose - Visceral (Omentum),-1.362566120035779,12794.0
Adrenal Gland,-1.5261110894335286,12197.0
Artery - Aorta,-0.955279944046886,12055.0
Artery - Coronary,-1.0781101668455504,12407.0
Artery - Tibial,-1.0138461592238996,11380.0
Bladder,-1.0717855004021903,12807.0
Brain - Amygdala,-1.8265180990831829,12050.0
Brain - Anterior cingulate cortex (BA24),-1.7782156513581855,12716.0
Brain - Caudate (basal ganglia),-1.7676458620154625,13022.0
Brain - Cerebellar Hemisphere,-0.8326713586470609,13435.0
Brain - Cerebellum,-0.7713855939205255,13951.0
Brain - Cortex,-1.5444539513462534,13279.0
Brain - Frontal Cortex (BA9),-1.512876395380381,12922.0
Brain - Hippocampus,-1.8351155442475968,12419.0
Brain - Hypothalamus,-1.67775215255305,13140.0
Brain - Nucleus accumbens (basal ganglia),-1.6724181160232654,13116.0
Brain - Putamen (basal ganglia),-1.8863488942408007,12236.0
Brain - Spinal cord (cervical c-1),-1.3777226239633709,12196.0
Brain - Substantia nigra,-1.7344282424201913,11924.0
Breast - Mammary Tissue,-1.172131868253137,13371.0
Cells - Cultured fibroblasts,-1.2617408365661889,12064.0
Cells - EBV-transformed lymphocytes,-1.2309837949461346,10926.0
Cervix - Ectocervix,-0.764282562729,13468.0
Cervix - Endocervix,-0.9200376955657252,14268.0
Colon - Sigmoid,-1.1571515289556797,12331.0
Colon - Transverse,-1.404723786023173,13273.0
Esophagus - Gastroesophageal Junction,-1.1858794954463028,12191.0
Esophagus - Mucosa,-1.3861918693265904,12232.0
Esophagus - Muscularis,-1.2008354796979965,11980.0
Fallopian Tube,-0.761827179496881,13605.0
Heart - Atrial Appendage,-1.9137379557672163,11882.0
Heart - Left Ventricle,-2.3030211232948536,10350.0
Kidney - Cortex,-1.8241176956498972,13020.0
Kidney - Medulla,-1.8346152919076002,15524.0
Liver,-1.8488933951365665,10738.0
Lung,-0.9444795907363589,13764.0
Minor Salivary Gland,-1.29172160481801,13969.0
Muscle - Skeletal,-2.0026330629861997,9972.0
Nerve - Tibial,-0.7281165962604144,13937.0
Ovary,-0.7318127686023639,13442.0
Pancreas,-2.0112113923414574,11454.0
Pituitary,-0.8864297585960996,14738.0
Prostate,-0.895984277844985,14045.0
Skin - Not Sun Exposed (Suprapubic),-1.2645490020878882,13425.0
Skin - Sun Exposed (Lower leg),-1.225623800788564,13363.0
Small Intestine - Terminal Ileum,-1.2281620560353386,13969.0
Spleen,-0.9061840683916746,13746.0
Stomach,-1.4459834210900184,12096.0
Testis,-0.2662734990893502,23035.0
Thyroid,-0.7372853729179434,13970.0
Uterus,-0.7544739310452604,13103.0
Vagina,-0.9697269529216889,13509.0
Whole Blood,-1.7342069210819286,8917.0
Mean,-1.307468927327778,26985.0
