,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Kidney - Medulla,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood,Row Mean
All TFs,2.9390460436946144,2.997858969475356,2.1600778671783076,2.819910679892456,2.9417766511851102,2.8428221298697145,3.2093127693734163,1.075481285575487,1.0794498087871787,1.232914303913876,1.9388197879250681,2.03304097253663,1.4646159045061946,1.4365026393660023,1.0816996353720962,1.2439840737358001,1.1715069879395636,1.0550034048282078,1.4450970727822419,1.0327059551930244,3.1474888896454107,1.8915627056817441,2.4950837120716027,3.1489662431150767,3.2591522491986025,2.6158840287329697,2.8086362743132747,2.556837679129597,2.595452165092743,2.536858430567015,3.331200537099987,2.011552480553616,1.2581284664438965,1.8587514986067986,2.172229689395696,1.4844567613452615,3.4002284882392586,2.8850856632026654,1.605218563766702,3.1496895244396645,2.9815313131880323,1.479089879398243,2.5421218422143554,3.3978647567254567,3.2160647787535037,3.2191882541625145,2.991888495532002,2.84809391372803,2.473573366798341,2.830950707865824,3.1041513164012766,3.106213003221354,3.3264566053016162,1.266123383556201,2.336988937233679
AR,3.377123749129487,2.2488384016402487,0.3230817895037326,3.6616356023359593,2.9076598278532892,3.326249700837456,2.886550147324343,-1.7661119398257228,-1.905088352974533,-0.8651219456568883,-2.5820799921880346,-1.8313579644411608,-0.9545570292388329,-0.720231578406405,-1.8008773579863993,0.02431967919541289,-1.038006322579745,-1.043943347587597,-0.5125136506514639,-0.20922796213800007,3.5185351389821804,-5.573466861883326,3.877253453876608,5.267910280884825,5.359837392963122,1.6708403358815618,0.4446670668419076,1.8671057295026547,0.5320675522890307,1.1070182498821204,4.474436043252266,1.686612576815591,1.6562675347942892,0.8015725694635981,0.1750454861109138,3.8972404255747994,1.3934162004715447,0.8575829553841481,2.028569152196771,2.4784541534160187,4.074248523347032,-1.0409717810563062,1.5902427080625905,4.3957483281790335,2.3589588258323295,1.9597701552114672,0.3021727997407522,-0.3022261804448139,0.5724046473903317,2.811881996218668,2.1953475983222193,4.743353390944915,4.47021145739054,-5.380821783940931,1.1814375477045107
ARNT,5.530757457461217,5.175923742063755,4.823494624712857,5.469071952080386,5.55581615506164,5.658497136656478,5.436961337833602,2.811471030529836,2.97066962537909,2.9390384696321226,5.236109889889632,5.19377174339668,3.382667252745041,3.327687364176047,2.7710404144367784,3.115366236609782,2.9581002617232475,2.6535186707535994,3.595742339474399,3.0482361856528475,5.386121156814855,5.099084760891864,5.489446598622579,6.131342539123261,6.10454633862346,5.141187525004999,4.682292371430833,5.177917792195843,4.4822029262959555,5.070389327891398,5.7090148649032715,4.214901910160696,3.434961760187254,3.5801454844233804,3.959306489759657,4.0386995513055854,5.536519213353429,4.59215800212536,4.364572432295856,5.776893568522074,6.012233435894742,3.6046644151637044,4.584361252518709,4.956056652412403,5.177917792195843,5.32876467228402,4.659353759170051,4.765534746362977,4.309612772454123,5.06177619758669,5.143638309922037,5.967745016921769,5.518692492425199,3.9020735793107426,4.60403836294118
ASCL1,-3.965784284662087,-4.083141235300245,-0.05139915250664432,-4.380821783940931,-4.795859283219775,-5.573466861883326,-4.795859283219775,3.872336288104642,3.408711861029429,3.3708617400852847,2.6886279834868527,3.0513721017210256,3.927896453728821,3.8589756142920195,3.5533605033353277,3.333423733725192,2.552131108253784,2.8933622107638715,3.740927560318628,3.5582676340557358,-4.321928094887363,2.1443727342919794,,-0.2159148572652431,-0.10159814000780673,-2.8996950942043145,-2.795859283219775,-3.662003536484984,,-4.473931188332412,-1.5864059175908247,-5.50635266602479,,-5.965784284662087,-7.380821783940931,-2.139235797371172,-3.473931188332412,-3.9213901653036336,-5.011587974275212,-1.4540316308947074,-1.6126374591640045,-2.932361283124637,5.18824265626441,-0.9742624385863917,,,-2.7858751946471525,-3.395928676331139,-1.4900508536956893,-1.1202942337177118,-2.1328942704973453,-3.1844245711374275,-1.2898272517203384,,-1.090260198681152
ATF2,4.748461233004035,4.477029653013065,4.03738222200308,4.743353390944915,4.7114949066500875,5.0895828931247085,4.584361252518709,3.8328900141647417,4.198494153639083,3.827310943949667,5.592457037268081,4.936402377725063,3.9078520718459635,4.739308070860385,3.776103988073164,4.270528942380718,3.9054471787388496,3.424922088210688,4.283921772307617,3.7516779456875784,4.571676809970931,5.103077946597573,4.683134985126093,5.16430358309365,5.151574729766406,4.505255800932163,3.9054471787388496,4.33699741660501,3.3812833725037836,4.321928094887363,4.7230123963923685,3.097273678961402,2.3997179835310303,3.3603642765434705,3.7311832415722,3.251113109171286,4.502075956045791,4.086613947409496,2.9573574659591806,5.046578366620329,5.074676686294496,2.8978212596593633,4.575917361118149,4.465974464504069,3.560714954474479,3.6076262208454875,3.9662458732249397,4.0798047546352585,3.473786911614367,4.944389962270092,4.894817763307944,5.016362598760893,4.489607156748714,2.221877081077034,4.192381028242109
ATF3,5.848748114611959,7.127220550488074,2.8923910259134034,6.35508676166836,5.760753208062987,5.562852959583925,5.229203357886745,2.2069557323872795,1.7350888704781762,2.779890039340047,1.2418401835646706,1.6553518286125541,2.0837239663930083,1.8213020398895297,2.587124921871777,2.9216267478910973,2.3402774047662542,2.6803243568440163,4.252476214135217,2.77568270173906,5.774787059601174,4.649040565634448,2.070389327891398,5.075532631167357,4.649040565634448,4.855491443101874,4.000901402741532,4.615298579092115,2.9379093057021435,3.885574364371426,6.447909748742077,4.9740703670240265,3.3201958212661253,4.418189947945766,5.174725987706133,4.541948425333733,6.259837400589506,4.571373435973201,3.0262689081905516,5.697940582617104,4.912410353808268,3.51790555352995,4.910252962799278,5.178316271701453,6.558344175692536,5.403608583543695,3.918386234446348,2.731400498562429,4.544114402209474,1.882838655767251,5.036942844798256,5.116447935511657,5.114575251125544,1.486456955768731,4.094747176587392
ATF4,9.122310343190742,9.06420384242763,8.174925682500678,9.252901920450268,9.229539857739535,9.497253084072264,9.161131882984307,6.867896463992655,7.059614856297222,6.7251958172266635,8.207990433232961,8.072534599722955,7.208478242211705,7.407692648665677,7.029011086659068,7.122569192216447,6.673132372145357,6.620586410451877,8.019034669364338,7.25077213159993,8.92837032301897,8.734878940693246,9.127736443588828,8.623881490013458,8.663380202368488,9.679831933439853,8.661599976277731,9.206037546246591,8.258330472612425,9.315828850524781,9.044667331184076,7.331812683819207,6.882643049361842,7.453682185872176,7.962317654942308,7.372429792334089,8.967082126257734,8.404502961226878,8.331812683819207,9.0405637111587,8.64403651538472,7.7820153350041945,8.342519189660608,8.872520984591661,8.448116305409464,8.39274673242064,8.207502459258789,8.362382216236988,8.57969306345875,7.663913842115978,8.615077831629227,9.022922589055629,8.652665745094314,6.774787059601174,8.224427143793239
ATF7,5.256633295059924,4.75595576955096,3.5472030247569317,5.460251098943846,5.170726276131552,5.65219964830406,4.942045259916046,2.6669837700666585,2.581833270240715,2.880097749721974,5.084489524936252,5.093813673402728,2.9364023777250634,2.785341298705182,2.759581973233555,2.8235455754303453,2.6800992698569166,2.584962500721156,4.1586601753464985,3.0050406167005304,5.05484847699562,3.779259720372376,4.385085853547684,5.332707933640605,5.308156975114762,4.8875252707415875,4.1945598860226125,5.0430819818956625,4.3847405872923835,4.932155684432056,5.007195501404204,3.7548875021634687,2.963474123974886,3.2361864437110337,3.3318485044804267,2.704650675240352,4.9581466737627204,4.738767836800192,3.6182386555954547,5.599912842187128,5.3892226163558945,2.8804896266878193,4.0,4.788685710613533,5.037821465434967,5.14649230697719,4.030336078370959,4.02945288578697,3.838951766951943,4.414812060565847,4.7865963618908065,5.407182772342685,5.062639828286463,3.0059388765146733,4.1825911043501085
BACH1,3.855989697308481,3.7803100990433753,2.6773954832634614,3.9020735793107426,4.057883448899626,3.8328900141647417,3.824767853143294,1.4141355329844512,1.2221863073221124,1.3950627995175775,1.8326875164395318,1.5479433112903502,1.0854246562526777,1.2240402742179302,1.478713002441722,1.6982184782244139,1.0107798387532427,1.2010064660560928,2.4507493755374963,1.8523984202865529,3.4982508675278257,3.8171115727956972,4.3077927961298945,4.066089190457772,3.9392265777282085,3.8135246892978105,3.199750856715837,3.272620454662992,4.141596278383818,3.473786911614367,3.6241008946281146,2.2856981259581253,1.4547023281636882,2.1106973165449348,2.6567251700212475,2.460480470040011,4.507160349117523,3.449561374613236,3.955126781261366,4.161081482277184,3.5160151470036647,2.3399924842477238,2.185232254230161,3.5397791916984938,4.651625783920642,4.681449265314958,3.568032104771279,3.7506065048355923,2.665620164066381,4.51853513898218,3.5096958419333872,3.9364023777250634,4.283551423174307,3.9891390073682333,3.04954476540129
BACH2,0.7389839547005117,0.8090027749390863,-2.608232280044003,1.1110313123887439,0.37851162325372983,0.4895429356424736,0.5270703355126606,0.01006368334469748,0.07860983469636647,0.05102400302446689,2.473267395929643,2.2044537676745617,0.3493652775942134,0.3729520979118291,-0.060397279643956275,0.10701824988212043,0.21785109681113138,-0.2968993003958401,0.4308204965197715,-0.1328942704973453,1.3901173536663305,-2.67116353577046,-3.2515387669959646,1.6452405126452654,1.792855352362489,0.5587574303737622,-0.049904905826313926,0.8073549220576041,-0.5104570643575265,1.0179219079972623,1.1309308698264486,-0.3547594873547347,-1.231074664436249,-0.8546486144273799,-0.8836352433082154,0.47923056120633595,1.968275110238707,1.1884009246032101,1.1029939933233257,2.611408481024957,2.0349199843491594,-0.4016347946763554,0.31614574229335635,1.4478436443620855,1.6318027549241287,1.8812730614292485,1.4489009511451278,2.300416627836874,-0.5125136506514639,1.1647862781433398,0.3917677199559967,2.3994445645894578,1.3504972470841332,-0.11872693857075141,0.5272661858945935
