tf,log2_GeneExpr
AR,3.0903028044739034
ARNT,3.166892190691946
ARNTL,3.5738084731683353
ASCL1,2.6990805602560837
ATF2,3.1399535753593937
ATF3,3.2483371057103603
ATF4,3.134007011008116
ATF7,3.443457122455268
BACH1,3.2007110767213107
BACH2,3.0055322635853554
BATF,3.193151355910589
BATF3,2.058835283368838
BCL6,3.2962312389898796
BCL6B,3.560051910976425
BHLHE22,3.0379163437947088
BHLHE40,3.2829241741334716
CDX2,2.890775364337336
CEBPA,3.1619262127577015
CEBPB,2.785656150785904
CEBPD,3.488301440919123
CEBPG,3.1075930356943893
CLOCK,3.740399635230687
CREB1,3.1162431252051266
CREM,3.2880258807795064
CTCF,2.903888573262959
CTCFL,2.9549735732758786
CUX1,3.543240278256085
DUX4,2.0572930091409556
E2F1,3.1343203531569475
E2F4,3.4953437092364226
E2F6,3.160893167470995
E2F7,3.362767196664887
E2F8,3.348741341746146
EBF1,3.273862987628208
EBF3,3.29176884014666
EGR1,3.209509445603821
EGR2,2.9620463467029023
EGR3,2.8492566851052166
EHF,3.370788162890061
ELF1,3.1324191776156214
ELF3,3.217379236728358
ELF4,3.539506157650611
ELF5,2.6127705471882177
ELK1,3.7031445126855767
ELK4,3.6562963299877524
EOMES,2.8939924378028286
ERF,3.5835017520983845
ERG,3.0531788770252244
ESR1,2.985545664633682
ESR2,3.128781551907876
ESRRA,3.459348105941852
ETS1,3.2964709923715194
ETV1,3.3951124679723295
ETV4,3.5079738819573665
ETV5,3.2239535451315415
ETV6,3.272945865748559
FLI1,3.125167697593884
FOS,3.0824754589813343
FOSL1,2.895310525197314
FOSL2,2.777760467840274
FOXA1,2.687310658377369
FOXA2,2.7001624106762954
FOXA3,2.6748592464405823
FOXJ2,2.866986257184278
FOXK1,3.544287262965406
FOXK2,3.488363595434114
FOXO1,2.9781019677659115
FOXP1,3.210665554436315
GABPA,3.178892707213197
GATA1,2.6538254656590223
GATA2,2.796452903319423
GATA3,2.9808761564790447
GATA4,2.795218883219216
GATA6,2.0965180647389086
GFI1,2.320664683252676
GFI1B,2.625573891830634
GLIS1,2.980601400728767
GLIS2,3.0584611325171975
GLIS3,2.7089528296885903
GRHL2,3.1051405558299394
HAND2,3.083786689400735
HIC1,3.331960472214885
HIF1A,3.375719676072368
HINFP,2.654798994337783
HLF,2.9816652453352237
HMBOX1,3.1931238359838567
HNF1A,0.8878596349866569
HNF1B,1.560937513824342
HNF4A,2.9911170112193264
HNF4G,2.8714218606470725
HOXA9,2.446402880951026
HOXB13,3.2568530529414046
HSF1,3.684599555518989
HSF2,3.836914149942115
IRF1,3.471127736073995
IRF2,3.6215103667553303
IRF3,3.360752913760757
IRF4,3.3353037315599807
ISL1,0.6239099594192923
JUN,3.096721945793443
JUNB,2.7544374729769805
JUND,3.0514357362327647
KLF1,3.164009202399746
KLF11,3.349819893038563
KLF12,3.4399355312055935
KLF15,3.1846753741825937
KLF16,3.4117062297703327
KLF4,3.26094818878132
KLF5,3.2800193405091447
KLF9,3.095365911225751
LEF1,2.5840721853026545
LHX2,2.0523450655481392
LHX9,3.421828040164893
MAF,3.2414624731102712
MAFB,3.176124612910283
MAFF,3.4502411981369514
MAFK,3.2114740977413163
MAX,2.9498135369707166
MECOM,3.215969301283727
MEF2A,3.043826726149449
MEF2B,3.1905081499168344
MEF2C,3.2359622227970735
MEF2D,3.296343639824501
MEIS1,2.980375328214082
MEIS2,3.2999713784778284
MGA,2.4643017646695506
MITF,3.3163412057012653
MLX,3.5266767117300053
MNT,3.5253324651149502
MXI1,3.359393365633349
MYB,3.1313420591351657
MYBL2,2.9208395573053236
MYC,2.972291426777185
MYCN,3.022535666767017
MYF5,2.987454873242755
MYOD1,2.882202444496673
MYOG,2.243853689585427
NEUROD1,3.2488314939230754
NEUROG2,2.8526939872306643
NFE2,3.410712516461428
NFE2L2,3.416786332206738
NFIA,2.8651830257286153
NFIB,2.988577807718058
NFIC,3.058171858217509
NFIL3,3.2621373459206326
NFKB1,3.399632622225983
NFKB2,3.3830331693481592
NFYA,3.348240720158621
NFYB,3.100131939799421
NFYC,3.1883050043752874
NKX2-5,3.391605076027278
NKX3-1,3.2956932652973436
NR1H2,3.15206064523612
NR1H4,2.0007844110761646
NR2C1,3.766632981671257
NR2C2,3.6873922496242306
NR2F1,3.151345895868457
NR2F2,3.257988425431703
NR2F6,3.123018385146729
NR3C1,3.1038725480574496
NR4A1,3.357365846044809
NR5A1,4.46396658319107
NR5A2,3.0840476209611762
NRF1,3.2227177757355063
